資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231006,00645,16,0,0,0.00
20231006,00645,17,7109,52497000,100.00
20231006,00646,1,11154,3573152,0.94
20231006,00646,2,11088,23634160,6.21
20231006,00646,3,1837,13423320,3.53
20231006,00646,4,590,7367908,1.93
20231006,00646,5,326,5850114,1.53
20231006,00646,6,312,7806756,2.05
20231006,00646,7,149,5234695,1.37
20231006,00646,8,76,3476130,0.91
20231006,00646,9,124,9013289,2.37
20231006,00646,10,55,7769136,2.04
20231006,00646,11,21,6157477,1.62
20231006,00646,12,9,4223000,1.11
20231006,00646,13,4,2854000,0.75
20231006,00646,14,4,3507330,0.92
20231006,00646,15,20,276094533,72.65
20231006,00646,16,0,0,0.00
20231006,00646,17,25769,379985000,100.00
20231006,00647L,1,189,40161,0.54
20231006,00647L,2,456,1002586,13.51
20231006,00647L,3,115,895733,12.07
20231006,00647L,4,32,416003,5.60
20231006,00647L,5,22,395470,5.33
20231006,00647L,6,26,642052,8.65
20231006,00647L,7,12,423000,5.70
20231006,00647L,8,4,190000,2.56
20231006,00647L,9,19,1390000,18.74
20231006,00647L,10,7,1030154,13.89
20231006,00647L,11,2,507000,6.83
20231006,00647L,12,1,484841,6.53
20231006,00647L,13,0,0,0.00
20231006,00647L,14,0,0,0.00
20231006,00647L,15,0,0,0.00
20231006,00647L,16,1,1000,0.01
20231006,00647L,17,885,7416000,100.00
20231006,00648R,1,66,11235,0.00
20231006,00648R,2,982,2551708,1.49
20231006,00648R,3,423,3564541,2.08
20231006,00648R,4,208,2757090,1.61
20231006,00648R,5,187,3530606,2.06
20231006,00648R,6,204,5390007,3.14
20231006,00648R,7,131,4755701,2.77
20231006,00648R,8,95,4502000,2.62
20231006,00648R,9,241,18187807,10.62
20231006,00648R,10,126,18028489,10.53
20231006,00648R,11,58,17232000,10.06
20231006,00648R,12,15,7412431,4.32
20231006,00648R,13,11,7396000,4.32
20231006,00648R,14,5,4481000,2.61
20231006,00648R,15,14,71387385,41.70
20231006,00648R,16,0,0,0.00
20231006,00648R,17,2766,171188000,100.00
20231006,00650L,1,130,27551,0.01
20231006,00650L,2,1194,3267758,1.47
20231006,00650L,3,565,4708235,2.12
20231006,00650L,4,268,3516726,1.58
20231006,00650L,5,268,5015280,2.26
20231006,00650L,6,311,8175571,3.69
20231006,00650L,7,176,6394496,2.88
20231006,00650L,8,143,6649310,3.00
20231006,00650L,9,300,21828895,9.86
